Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2021,7,23,4,391,1408,1859,1528,B6,8130,TN456,450,272,348,0,5,SFO,DEN,526,27,48,1,B,0,0,0,0,0,0
2022,10,20,3,968,638,1152,377,DL,5344,TN789,212,276,322,18,4,ORD,SFO,598,18,24,0,None,1,19,21,15,0,0
2020,7,6,6,2190,1656,1922,360,WN,7518,TN789,114,71,209,0,0,ORD,ORD,2364,7,17,0,None,0,0,0,0,0,0
2022,4,24,3,1055,836,628,1571,DL,7790,TN789,94,263,430,2,22,JFK,SFO,1475,6,59,0,None,0,13,0,0,0,0
2022,12,22,7,2228,1585,1525,641,F9,3904,TN456,81,73,279,8,14,DEN,LAX,1172,24,10,0,None,0,11,0,8,0,0
2019,5,16,1,268,779,1724,572,AA,1786,TN321,32,466,196,3,0,ATL,DEN,278,12,29,0,None,0,12,0,0,0,0
2020,3,2,4,2029,836,652,1955,WN,7963,TN321,106,448,366,22,0,ORD,SFO,789,4,24,0,None,0,14,14,14,0,14
2020,4,1,7,274,264,2036,1584,B6,9375,TN123,164,193,84,21,0,DEN,DEN,2557,28,10,0,None,0,3,21,19,6,37
2020,4,24,1,742,1216,1128,922,UA,524,TN123,355,179,371,9,10,DEN,JFK,2740,19,33,0,None,0,0,0,8,0,0
2022,3,24,2,85,1397,465,2233,DL,3297,TN456,99,309,355,0,25,DEN,ATL,1830,17,23,0,None,0,0,0,0,0,0
2021,10,9,6,403,2057,763,1541,F9,6957,TN456,191,233,362,34,10,ATL,DFW,677,6,47,0,None,0,11,5,0,4,1
2020,5,22,1,2239,301,1019,1814,DL,4480,TN321,125,260,239,0,27,JFK,SFO,163,5,31,1,B,0,0,0,0,0,0
2022,5,12,2,2045,1977,928,1889,WN,7712,TN789,45,425,336,0,1,JFK,DEN,464,21,2,0,None,0,0,0,0,0,0
2019,11,17,3,1054,804,1381,1899,F9,5686,TN789,259,320,167,0,0,DFW,DEN,1603,9,44,0,None,0,0,0,0,0,0
2021,7,25,1,2154,1075,674,1227,WN,6648,TN456,421,335,119,0,0,JFK,DEN,2564,14,24,0,None,0,0,0,0,0,0
2019,4,28,1,1894,1775,1008,2329,AA,8561,TN456,434,368,138,25,13,SFO,ATL,717,23,57,0,None,0,11,22,3,0,17
2021,4,15,5,275,98,1226,1439,B6,7795,TN456,406,363,128,42,1,ORD,DEN,1624,16,44,0,None,0,12,28,1,0,20
2022,9,19,6,650,1413,1635,1056,F9,5591,TN123,296,325,411,0,4,LAX,JFK,918,12,19,0,None,0,0,0,0,0,0
2018,6,27,6,1621,1977,280,2129,F9,4384,TN789,335,51,101,0,0,DEN,SFO,2154,29,55,1,D,0,0,0,0,0,0
2021,4,22,7,1105,356,1280,1506,DL,399,TN456,372,204,32,8,0,LAX,DFW,1312,0,19,0,None,0,4,0,22,0,0
2019,2,10,3,1913,1663,323,2195,DL,2152,TN456,35,271,440,12,20,DEN,DFW,892,19,50,0,None,0,10,8,0,0,0
2022,6,26,5,585,10,1685,1630,UA,5431,TN123,139,360,318,0,30,DEN,DEN,1978,23,16,0,None,0,0,0,0,0,0
2021,2,27,7,128,80,1085,964,NK,3881,TN456,172,95,111,0,0,JFK,ATL,2401,20,19,0,None,0,0,0,0,0,0
2018,5,12,2,255,2053,2234,991,F9,127,TN789,424,423,257,31,0,ORD,ORD,1839,8,17,0,None,0,4,11,22,8,12
2018,6,14,7,230,221,541,494,DL,2088,TN123,184,456,203,17,15,ATL,SFO,1643,18,56,0,None,0,13,3,22,8,0
2020,4,9,2,1160,1940,1327,1193,DL,1771,TN456,236,482,197,31,26,ATL,SFO,1634,27,13,0,None,0,1,25,14,2,14
2020,3,27,3,1647,1946,1810,702,NK,7026,TN789,458,123,229,0,19,LAX,SFO,2886,5,33,0,None,0,0,0,0,0,0
2019,7,13,6,2193,514,638,1030,AA,8439,TN789,195,242,295,5,32,DFW,DEN,2940,21,15,0,None,0,14,0,0,0,0
2021,2,3,2,2047,220,435,1403,UA,5926,TN123,289,270,323,3,20,ATL,SFO,2369,3,31,0,None,0,2,0,0,0,0
2021,11,21,3,259,227,2260,825,NK,3319,TN789,491,438,375,26,15,ATL,JFK,1570,27,7,0,None,0,19,11,22,3,12
2020,6,14,7,2134,2337,1429,1057,DL,2082,TN123,202,139,294,0,22,JFK,DEN,515,26,41,0,None,0,0,0,0,0,0
2021,4,21,2,842,292,961,562,DL,2058,TN789,423,76,344,0,9,DFW,LAX,327,29,57,0,None,0,0,0,0,0,0
2021,6,10,4,1971,955,1157,2185,B6,5288,TN456,150,420,292,15,5,ATL,SFO,2051,17,15,0,None,0,6,22,6,0,0
